barabasi_albert&uniform_1-5&uniform_0.75-1&50&4,,,
exact_sat_size,tdg_size,1+1[10000]_size,tdg_1+1[10000]_size
15,18,16,16
None,18,16,17
None,18,17,16
None,18,16,15
None,18,17,16
None,18,16,15
None,18,16,15
None,18,17,16
None,18,16,16
None,18,15,16
None,18,15,15
None,18,16,15
None,18,18,16
None,18,18,16
None,18,15,15
None,18,18,15
None,18,16,15
None,18,16,15
None,18,16,16
None,18,17,16
,,,
barabasi_albert&uniform_1-5&const_0.8&50&4,,,
exact_sat_size,tdg_size,1+1[10000]_size,tdg_1+1[10000]_size
16,19,17,17
None,19,18,17
None,19,17,17
None,19,17,17
None,19,17,17
None,19,17,17
None,19,17,17
None,19,17,17
None,19,17,17
None,19,17,17
None,19,17,17
None,19,17,17
None,19,17,17
None,19,18,17
None,19,17,17
None,19,19,18
None,19,18,17
None,19,17,17
None,19,17,18
None,19,22,17
,,,
watts_strogatz&uniform_1-2&const_0.8&40&8&0.5&123,,,
exact_sat_size,tdg_size,1+1[10000]_size,tdg_1+1[10000]_size
16,21,18,17
None,21,18,17
None,21,18,16
None,21,17,17
None,21,17,17
None,21,18,17
None,21,18,17
None,21,17,17
None,21,18,16
None,21,19,17
None,21,17,18
None,21,17,17
None,21,18,17
None,21,18,17
None,21,17,16
None,21,17,18
None,21,17,16
None,21,18,16
None,21,19,16
None,21,17,18
,,,
watts_strogatz&uniform_1-2&uniform_0.75-1&40&8&0.5&123,,,
exact_sat_size,tdg_size,1+1[10000]_size,tdg_1+1[10000]_size
15,20,17,16
None,20,17,16
None,20,17,17
None,20,17,17
None,20,16,17
None,20,18,15
None,20,17,16
None,20,17,17
None,20,17,17
None,20,17,16
None,20,17,16
None,20,17,15
None,20,17,17
None,20,16,16
None,20,17,16
None,20,16,16
None,20,17,16
None,20,17,16
None,20,17,17
None,20,17,16
